record_id,control_name,is_anomaly,anomaly_type,severity,explanation
DRF00878,Control-78,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00801,Control-68,TRUE,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00918,Control-94,TRUE,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00660,Control-63,TRUE,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00628,Control-40,TRUE,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00574,Control-44,TRUE,UNAPPROVED_CHANGE,MEDIUM,Policy violation: Unapproved Change
DRF00550,Control-66,TRUE,UNAPPROVED_CHANGE,MEDIUM,Policy violation: Unapproved Change
DRF00572,Control-21,TRUE,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00684,Control-82,TRUE,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00949,Control-78,TRUE,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00635,Control-67,TRUE,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00847,Control-9,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00581,Control-1,TRUE,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00560,Control-48,TRUE,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00638,Control-55,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00895,Control-65,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00659,Control-99,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00561,Control-55,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00718,Control-48,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00741,Control-62,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00837,Control-32,TRUE,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00715,Control-33,TRUE,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00709,Control-35,TRUE,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00809,Control-87,TRUE,UNAPPROVED_CHANGE,MEDIUM,Policy violation: Unapproved Change
DRF00633,Control-67,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00661,Control-63,TRUE,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00816,Control-95,TRUE,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00727,Control-20,TRUE,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00534,Control-60,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00699,Control-98,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00605,Control-99,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00806,Control-60,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00898,Control-48,TRUE,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00924,Control-61,TRUE,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00862,Control-75,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00698,Control-64,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00555,Control-25,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00587,Control-21,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00848,Control-6,TRUE,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00675,Control-4,TRUE,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00773,Control-70,TRUE,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00645,Control-8,TRUE,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00513,Control-21,TRUE,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00526,Control-45,TRUE,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00728,Control-81,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00789,Control-95,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00763,Control-93,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00948,Control-56,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00761,Control-1,TRUE,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00721,Control-42,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00977,Control-71,TRUE,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00632,Control-89,TRUE,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00600,Control-89,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00881,Control-77,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00689,Control-85,TRUE,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00649,Control-35,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00662,Control-35,FALSE,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00855,Control-32,TRUE,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00759,Control-44,TRUE,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00879,Control-39,TRUE,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00614,Control-56,TRUE,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00615,Control-70,TRUE,HIGH_SEVERITY_DRIFT,HIGH,High severity control drifted from baseline
DRF00586,Control-53,TRUE,UNAPPROVED_CHANGE,MEDIUM,Policy violation: Unapproved Change
DRF00788,Control-84,TRUE,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
